stem,image_exists,mask_exists,img_h,img_w,pixels,aspect_ratio,mask_h,mask_w,mask_coverage,mask_pixels,mask_size_class,same_size,touch_top,touch_bottom,touch_left,touch_right,touches_any_border,n_borders_touched
ISIC_0000000,True,True,767,1022,783874,1.332464146023468,767,1022,0.46973238045910437,368211,normal,True,False,False,False,False,False,0
ISIC_0000001,True,True,767,1022,783874,1.332464146023468,767,1022,0.07050367788700736,55266,normal,True,False,False,False,False,False,0
ISIC_0000003,True,True,767,1022,783874,1.332464146023468,767,1022,0.3365693976327828,263828,normal,True,False,False,False,False,False,0
ISIC_0000004,True,True,767,1022,783874,1.332464146023468,767,1022,0.3449738095663334,270416,normal,True,False,False,False,False,False,0
ISIC_0000006,True,True,767,1022,783874,1.332464146023468,767,1022,0.09172264930333192,71899,normal,True,False,False,False,False,False,0
ISIC_0000007,True,True,767,1022,783874,1.332464146023468,767,1022,0.08805879516350842,69027,normal,True,False,False,False,False,False,0
ISIC_0000008,True,True,767,1022,783874,1.332464146023468,767,1022,0.33748408545250896,264545,normal,True,False,False,False,False,False,0
ISIC_0000009,True,True,767,1022,783874,1.332464146023468,767,1022,0.2313790226490482,181372,normal,True,False,False,False,False,False,0
ISIC_0000011,True,True,767,1022,783874,1.332464146023468,767,1022,0.18024708052569674,141291,normal,True,False,False,False,False,False,0
ISIC_0000012,True,True,767,1022,783874,1.332464146023468,767,1022,0.0503218629524643,39446,normal,True,False,False,False,False,False,0
ISIC_0000013,True,True,767,1022,783874,1.332464146023468,767,1022,0.2757675340679752,216167,normal,True,False,False,False,False,False,0
ISIC_0000014,True,True,767,1022,783874,1.332464146023468,767,1022,0.28055784475566226,219922,normal,True,False,False,False,False,False,0
ISIC_0000015,True,True,767,1022,783874,1.332464146023468,767,1022,0.2277419585290493,178521,normal,True,False,False,False,False,False,0
ISIC_0000016,True,True,767,1022,783874,1.332464146023468,767,1022,0.20810104685191752,163125,normal,True,False,False,False,False,False,0
ISIC_0000017,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.15428888773721802,261985,normal,True,False,False,False,False,False,0
ISIC_0000018,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.23557198518741873,400005,normal,True,False,False,False,False,False,0
ISIC_0000019,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.32150698226636265,545924,normal,True,False,False,False,False,False,0
ISIC_0000020,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.239541912443699,406746,normal,True,False,False,False,False,False,0
ISIC_0000021,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.25398288355351184,431267,normal,True,False,False,False,False,False,0
ISIC_0000022,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.40905091589242976,694575,normal,True,False,False,False,False,False,0
ISIC_0000023,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.17712495053050148,300761,normal,True,False,False,False,False,False,0
ISIC_0000024,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.33282313005295594,565139,normal,True,False,False,False,False,False,0
ISIC_0000025,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.1961406724082694,333050,normal,True,False,False,False,False,False,0
ISIC_0000026,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.5335939119537154,906051,normal,True,False,False,False,False,False,0
ISIC_0000027,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.19029797127942258,323129,normal,True,False,False,False,False,False,0
ISIC_0000028,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.24007606524320146,407653,normal,True,False,False,False,False,False,0
ISIC_0000029,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.3876859817575335,658297,normal,True,False,False,False,False,False,0
ISIC_0000030,True,True,1129,1503,1696887,1.3312666076173605,1129,1503,0.49775559598252567,844635,normal,True,False,False,False,False,False,0
ISIC_0000031,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.32612001300341104,553757,normal,True,False,False,False,False,False,0
ISIC_0000032,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.32923835817801483,559052,normal,True,False,False,False,False,False,0
ISIC_0000034,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.20596861278103387,349738,normal,True,False,False,False,False,False,0
ISIC_0000035,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.4655362493639636,790488,normal,True,False,False,False,False,False,0
ISIC_0000036,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.3923155023274221,666158,normal,True,False,False,False,False,False,0
ISIC_0000037,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.4297815803855794,729776,normal,True,False,False,False,False,False,0
ISIC_0000038,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.5224461960311328,887122,normal,True,False,False,False,False,False,0
ISIC_0000039,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.22121228539660404,375622,normal,True,False,False,False,False,False,0
ISIC_0000040,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.2685840416109153,456060,normal,True,False,False,False,False,False,0
ISIC_0000041,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.06928262160073874,117643,normal,True,False,False,False,False,False,0
ISIC_0000042,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.33521651150519194,569203,normal,True,False,False,False,False,False,0
ISIC_0000043,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.4100002591259446,696187,normal,True,False,False,False,False,False,0
ISIC_0000044,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.5100511420387087,866075,normal,True,False,False,False,False,False,0
ISIC_0000045,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.32183147861975386,546475,normal,True,False,False,False,False,False,0
ISIC_0000046,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.3805947647136423,646256,normal,True,False,False,False,False,False,0
ISIC_0000047,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.24681451764883253,419095,normal,True,False,False,False,False,False,0
ISIC_0000048,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.12742812788572075,216375,normal,True,False,False,False,False,False,0
ISIC_0000049,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.655867789231668,1113674,normal,True,False,False,False,False,False,0
ISIC_0000050,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.28205387935096016,478932,normal,True,False,False,False,False,False,0
ISIC_0000051,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.2873111914139796,487859,normal,True,False,False,False,False,False,0
ISIC_0000052,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.6176066656615721,1048706,normal,True,False,False,False,False,False,0
ISIC_0000053,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.5533881895105818,939662,normal,True,False,False,False,False,False,0
ISIC_0000054,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.21147975048527223,359096,normal,True,False,False,False,False,False,0
ISIC_0000055,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.4219047405913725,716401,normal,True,False,False,False,False,False,0
ISIC_0000056,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.4973262913894804,844468,normal,True,False,False,False,False,False,0
ISIC_0000057,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.19623961140531068,333218,normal,True,False,False,False,False,False,0
ISIC_0000058,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.47335949720143977,803772,normal,True,False,False,False,False,False,0
ISIC_0000059,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.42730928330475093,725578,normal,True,False,False,False,False,False,0
