stem,image_exists,mask_exists,img_h,img_w,pixels,aspect_ratio,mask_h,mask_w,mask_coverage_x,mask_pixels_x,mask_size_class,same_size,touch_top,touch_bottom,touch_left,touch_right,touches_any_border,n_borders_touched,mask_pixels_y,mask_coverage_y,equivalent_diameter_px,centroid_x,centroid_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height
ISIC_0000000,True,True,767,1022,783874,1.332464146023468,767,1022,0.4697323804591043,368211,normal,True,False,False,False,False,False,0,368211,0.46973238045910437,684.7049043248333,499.1147684344031,366.8733552229564,49,46,900,635,852,590
ISIC_0000001,True,True,767,1022,783874,1.332464146023468,767,1022,0.0705036778870073,55266,normal,True,False,False,False,False,False,0,55266,0.07050367788700736,265.26751908089597,500.33329714471824,357.5703325733724,351,229,649,482,299,254
ISIC_0000003,True,True,767,1022,783874,1.332464146023468,767,1022,0.3365693976327828,263828,normal,True,False,False,False,False,False,0,263828,0.3365693976327828,579.5828177304677,537.7512015403976,357.12476310323393,251,49,849,700,599,652
ISIC_0000004,True,True,767,1022,783874,1.332464146023468,767,1022,0.3449738095663334,270416,normal,True,False,False,False,False,False,0,270416,0.3449738095663334,586.7745263123679,452.62973344772496,371.57186335128097,181,57,719,718,539,662
ISIC_0000006,True,True,767,1022,783874,1.332464146023468,767,1022,0.0917226493033319,71899,normal,True,False,False,False,False,False,0,71899,0.09172264930333192,302.56346446144727,478.02144675169336,361.08778981627006,333,191,625,540,293,350
ISIC_0000007,True,True,767,1022,783874,1.332464146023468,767,1022,0.0880587951635084,69027,normal,True,False,False,False,False,False,0,69027,0.08805879516350842,296.4589449728817,515.8554333811408,380.52152056441685,345,233,691,532,347,300
ISIC_0000008,True,True,767,1022,783874,1.332464146023468,767,1022,0.3374840854525089,264545,normal,True,False,False,False,False,False,0,264545,0.33748408545250896,580.3698436014432,497.27185544992346,404.0736169649776,199,83,807,716,609,634
ISIC_0000009,True,True,767,1022,783874,1.332464146023468,767,1022,0.2313790226490482,181372,normal,True,False,False,False,False,False,0,181372,0.2313790226490482,480.55176901943247,447.0479291180557,392.45953620183934,183,153,733,630,551,478
ISIC_0000011,True,True,767,1022,783874,1.332464146023468,767,1022,0.1802470805256967,141291,normal,True,False,False,False,False,False,0,141291,0.18024708052569674,424.14300479340204,497.7964272317416,355.6339965036697,243,151,753,576,511,426
ISIC_0000012,True,True,767,1022,783874,1.332464146023468,767,1022,0.0503218629524643,39446,normal,True,False,False,False,False,False,0,39446,0.0503218629524643,224.10757925965652,499.6909699335801,397.82593925873346,372,279,621,518,250,240
ISIC_0000013,True,True,767,1022,783874,1.332464146023468,767,1022,0.2757675340679752,216167,normal,True,False,False,False,False,False,0,216167,0.2757675340679752,524.6259359455706,482.96694685127704,381.2677837042657,198,122,789,637,592,516
ISIC_0000014,True,True,767,1022,783874,1.332464146023468,767,1022,0.2805578447556622,219922,normal,True,False,False,False,False,False,0,219922,0.28055784475566226,529.1629117363068,473.79139876865435,387.32829821482164,127,135,807,640,681,506
ISIC_0000015,True,True,767,1022,783874,1.332464146023468,767,1022,0.2277419585290493,178521,normal,True,False,False,False,False,False,0,178521,0.2277419585290493,476.75989425041405,479.67106390844776,353.9967062698506,177,111,725,621,549,511
ISIC_0000016,True,True,767,1022,783874,1.332464146023468,767,1022,0.2081010468519175,163125,normal,True,False,False,False,False,False,0,163125,0.20810104685191752,455.73808348098737,496.09673563218394,256.3094314176245,247,27,737,514,491,488
ISIC_0000017,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.154288887737218,261985,normal,True,False,False,False,False,False,0,261985,0.15428888773721802,577.5548996653406,736.0494035918086,553.398587705403,424,261,1008,872,585,612
ISIC_0000018,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.2355719851874187,400005,normal,True,False,False,False,False,False,0,400005,0.23557198518741873,713.6541067574605,691.0717666029175,518.8380470244122,194,213,1174,852,981,640
ISIC_0000019,True,True,1129,1504,1698016,1.3321523472099204,1129,1504,0.3215069822663626,545924,normal,True,False,False,False,False,False,0,545924,0.32150698226636265,833.7217912589301,686.021010250511,609.8723686813549,210,227,1142,1013,933,787
