dataset,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_pearson_corr
ham10000,shap,asymmetry,50,0.0333997486498038,0.06342506360680804,0.03710264658854887,0.030255088700092837
ham10000,lime,asymmetry,50,0.034580024817023325,0.06504232919173307,0.03653437393975978,0.009577470268007145
ham10000,gradcam,asymmetry,50,0.027863237389269605,0.053153074715451734,0.030563379809587503,0.004453596059141386
ham10000,gradcam,border_default,50,0.0025170733700631276,0.005002430447505813,0.0023498735043251616,0.017991191754713975
ham10000,shap,border_default,50,0.0025703947816320596,0.005116666076091697,0.00228665243183816,0.029681360445637277
ham10000,lime,border_default,50,0.0019195932313968635,0.0038273156566499076,0.0018945076846637002,0.0036088357860042607
ham10000,shap,border_w12_dil4_sigma8,50,0.004419659572375139,0.00876678756383231,0.003833654765679176,0.038747683663161656
ham10000,gradcam,border_w12_dil4_sigma8,50,0.003852986049672915,0.0076475300857474,0.003753539388189478,0.023795751247389266
ham10000,lime,border_w12_dil4_sigma8,50,0.003202921416879155,0.006373600619328822,0.003173525214648071,0.00850616886869339
ham10000,gradcam,border_w16_dil6_sigma10,50,0.006116248320006433,0.012066706711792427,0.006285662265852303,0.03064927997472846
ham10000,shap,border_w16_dil6_sigma10,50,0.007018281978875675,0.013849494195481196,0.006019211371320281,0.049576419498367656
ham10000,lime,border_w16_dil6_sigma10,50,0.004673320028064748,0.009284963710280867,0.004808421946707128,0.012032528194171378
ham10000,gradcam,border_w16_dil6_sigma10_dist,50,0.004936178337541017,0.009765125126568283,0.0049847129816422645,0.026799403675201183
ham10000,shap,border_w16_dil6_sigma10_dist,50,0.005594481981224869,0.011070816666825299,0.004796326155577859,0.04288447176685645
ham10000,lime,border_w16_dil6_sigma10_dist,50,0.003730830827590825,0.007422126913820584,0.003836681843237205,0.009853706490546175
ham10000,gradcam,border_w8_dil2_sigma5,50,0.0025170733700631276,0.005002430447505813,0.0023498735043251616,0.017991191754713975
ham10000,shap,border_w8_dil2_sigma5,50,0.0025703947816320596,0.005116666076091697,0.00228665243183816,0.029681360445637277
ham10000,lime,border_w8_dil2_sigma5,50,0.0019195932313968635,0.0038273156566499076,0.0018945076846637002,0.0036088357860042607
ham10000,gradcam,colour_heterogeneity,50,0.06180195305865679,0.11336056863402343,0.0799573329273944,0.2672094663100296
ham10000,shap,colour_heterogeneity,50,0.07239324316618136,0.13085514981747934,0.07060719097764626,0.33666872065086567
ham10000,lime,colour_heterogeneity,50,0.04414649744886446,0.08238661590180102,0.0428108526519668,-0.015079645825417279
isic2018,gradcam,asymmetry,50,0.012715355507854192,0.02445838960923244,0.02252595891039985,0.006636026602365729
isic2018,lime,asymmetry,50,0.02207494812886122,0.04130411032858819,0.022110475121940133,0.017457123994417612
isic2018,shap,asymmetry,50,0.014452432994337723,0.02807982350194444,0.017622588664762837,0.01930845814692028
isic2018,gradcam,border_default,50,0.0018888309851401775,0.0037557298540568437,0.004095237141987399,0.01419809669339983
isic2018,shap,border_default,50,0.003183947842784514,0.006336316886972673,0.00267486704334584,0.049330396543910665
isic2018,lime,border_default,50,0.0022861908753762073,0.004538915718457772,0.00216043278382586,0.021196067648018343
isic2018,gradcam,border_w12_dil4_sigma8,50,0.0029885047527549945,0.005922913907267097,0.0065968517492925784,0.018763791803177842
isic2018,shap,border_w12_dil4_sigma8,50,0.005655159892363123,0.011200707191294542,0.004483798144739735,0.05476996800519198
isic2018,lime,border_w12_dil4_sigma8,50,0.0032065539917222937,0.006375980193986202,0.0030938824373793407,0.03366588290466894
isic2018,gradcam,border_w16_dil6_sigma10,50,0.004113191342339,0.00810871229654294,0.008454086948283849,0.02336424968130754
isic2018,shap,border_w16_dil6_sigma10,50,0.007187232643952463,0.014170753032500207,0.005655888610088219,0.04925244767362146
isic2018,lime,border_w16_dil6_sigma10,50,0.004287797254333173,0.008512410188226505,0.0042365969071508245,0.04475704066676282
isic2018,gradcam,border_w16_dil6_sigma10_dist,50,0.0033258671868848485,0.0065763195639492325,0.006864900201960979,0.021789725153438147
isic2018,shap,border_w16_dil6_sigma10_dist,50,0.005830991249851658,0.011529893395403112,0.0045873187833512215,0.04482515345335305
isic2018,lime,border_w16_dil6_sigma10_dist,50,0.003467749966419036,0.006894393435039605,0.003426253017263834,0.0392199580249999
isic2018,gradcam,border_w8_dil2_sigma5,50,0.0018888309851401775,0.0037557298540568437,0.004095237141987399,0.01419809669339983
isic2018,shap,border_w8_dil2_sigma5,50,0.003183947842784514,0.006336316886972673,0.00267486704334584,0.049330396543910665
isic2018,lime,border_w8_dil2_sigma5,50,0.0022861908753762073,0.004538915718457772,0.00216043278382586,0.021196067648018343
isic2018,shap,colour_heterogeneity,50,0.04918633870481001,0.08553627831337698,0.04910153813702569,0.23299168715945653
isic2018,gradcam,colour_heterogeneity,50,0.03314821918417445,0.05848612162673535,0.04394510393882468,0.09660456735831177
isic2018,lime,colour_heterogeneity,50,0.027961467259628576,0.051137098000609685,0.029572993160373668,0.044085187836706154
