xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_inside_outside_ratio,mean_pearson_corr,mean_concept_area
lime,asymmetry,100,0.02832748647294227,0.05317321976016063,0.029322424530849954,1.005508982255368,0.013517297131212379,0.027355707908163267
shap,asymmetry,100,0.02392609082207076,0.045752443554376236,0.027362617626655858,1.5372932854963077,0.024781773423506556,0.027355707908163267
gradcam,asymmetry,100,0.0202892964485619,0.03880573216234209,0.026544669359993677,1.878313676756295,0.0055448113307535575,0.027355707908163267
gradcam,border_default,100,0.0022029521776016523,0.004379080150781328,0.00322255532315628,1.7003230687099282,0.0160946442240569,0.0018646364795918365
shap,border_default,100,0.002877171312208287,0.005726491481532184,0.002480759737592,1.48130004567169,0.03950587849477397,0.0018646364795918365
lime,border_default,100,0.002102892053386535,0.00418311568755384,0.0020274702342447802,1.0420455739495553,0.012402451717011303,0.0018646364795918365
gradcam,border_w12_dil4_sigma8,100,0.003420745401213955,0.006785221996507249,0.005175195568741028,1.6300423366492098,0.021279771525283552,0.002930285395408163
shap,border_w12_dil4_sigma8,100,0.005037409732369131,0.009983747377563426,0.004158726455209456,1.3783236153091614,0.046758825834176815,0.002930285395408163
lime,border_w12_dil4_sigma8,100,0.003204737704300724,0.0063747904066575115,0.0031337038260137056,1.034869067477493,0.021086025886681164,0.002930285395408163
gradcam,border_w16_dil6_sigma10,100,0.005114719831172716,0.010087709504167684,0.007369874607068077,1.6143747022088808,0.027006764828018,0.004167928890306123
shap,border_w16_dil6_sigma10,100,0.007102757311414069,0.014010123613990701,0.0058375499907042504,1.2486985366714847,0.04941443358599455,0.004167928890306123
lime,border_w16_dil6_sigma10,100,0.004480558641198961,0.008898686949253685,0.004522509426928976,1.0065677479410338,0.028394784430467102,0.004167928890306123
gradcam,border_w16_dil6_sigma10_dist,100,0.004131022762212932,0.008170722345258757,0.005924806591801621,1.59060682255419,0.024294564414319663,0.0034030213647959183
shap,border_w16_dil6_sigma10_dist,100,0.005712736615538264,0.011300355031114206,0.00469182246946454,1.2292694428882276,0.04385481261010475,0.0034030213647959183
lime,border_w16_dil6_sigma10_dist,100,0.0035992903970049304,0.007158260174430094,0.0036314674302505194,0.9916785743022772,0.024536832257773034,0.0034030213647959183
gradcam,border_w8_dil2_sigma5,100,0.0022029521776016523,0.004379080150781328,0.00322255532315628,1.7003230687099282,0.0160946442240569,0.0018646364795918365
shap,border_w8_dil2_sigma5,100,0.002877171312208287,0.005726491481532184,0.002480759737592,1.48130004567169,0.03950587849477397,0.0018646364795918365
lime,border_w8_dil2_sigma5,100,0.002102892053386535,0.00418311568755384,0.0020274702342447802,1.0420455739495553,0.012402451717011303,0.0018646364795918365
gradcam,colour_heterogeneity,100,0.04747508612141562,0.08592334513037939,0.06195121843310954,3.1590773315660967,0.1819070168341707,0.03504942602040816
shap,colour_heterogeneity,100,0.060789790935495684,0.10819571406542815,0.059854364557335976,2.255340450272856,0.2848302039051611,0.03504942602040816
lime,colour_heterogeneity,100,0.03605398235424652,0.06676185695120536,0.03619192290617024,1.0673066730325096,0.014502771005644437,0.03504942602040816
