mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_pearson_corr,mean_concept_area
normal,lime,asymmetry,66,0.04152272073406962,0.07780376412665924,0.043231397004999575,0.024651980836653188,0.040181893069727886
normal,shap,asymmetry,66,0.03257428757091525,0.06205047618486887,0.03871647394100414,0.009867975903418555,0.040181893069727886
normal,gradcam,asymmetry,66,0.028995078527596068,0.055335535832883295,0.037294740817695494,-0.0009468209989866055,0.040181893069727886
small,gradcam,asymmetry,14,0.006233325469846199,0.012330531336467289,0.010161810799889112,0.029173303685983136,0.004135443239795918
small,shap,asymmetry,14,0.01162492253999063,0.022922637052029293,0.008712342725211571,0.06626079933039893,0.004135443239795918
small,lime,asymmetry,14,0.005119680530855994,0.01008542372469935,0.0040483143582064045,-0.006075296539819121,0.004135443239795918
tiny,shap,asymmetry,10,0.005310452275079694,0.01054739445026521,0.003967743440258437,0.05182222833435742,0.0017139668367346938
tiny,gradcam,asymmetry,10,0.0018447038338440095,0.0036767521311970816,0.003909523687518181,0.018283564280671745,0.0017139668367346938
tiny,lime,asymmetry,10,0.001360390178512532,0.002715244079571924,0.0015961440914891833,-0.006910123501331186,0.0017139668367346938
very_tiny,shap,asymmetry,10,0.0026852664216003965,0.0053522064005216245,0.001932425000376607,0.038101745875587185,0.0008529974489795919
very_tiny,gradcam,asymmetry,10,0.0009540867118562453,0.00190328912413979,0.001165345395783533,0.0025709424597990306,0.0008529974489795919
very_tiny,lime,asymmetry,10,0.0006969649628523329,0.0013925170715043296,0.0006332408825242264,-0.012114563552709326,0.0008529974489795919
normal,lime,border_default,66,0.002565836140342582,0.005099410133527509,0.002401550059440026,0.019181974197429057,0.0020811591682127397
normal,gradcam,border_default,66,0.0021434170662906968,0.0042593583215353,0.0021944161628011144,0.005327897997541206,0.0020811591682127397
normal,shap,border_default,66,0.0021304968933480418,0.004241637334615651,0.0020771175457406266,0.009314759673888163,0.0020811591682127397
small,gradcam,border_default,14,0.0032229887192937847,0.006405816608384766,0.006006320867315037,0.055244035520396195,0.0015303275327988339
small,shap,border_default,14,0.004195942496433175,0.00834826388583899,0.003060263788182841,0.09739486201854167,0.0015303275327988339
small,lime,border_default,14,0.0013031932762138556,0.002601997619326942,0.001436630113260968,0.008179417004135419,0.0015303275327988339
tiny,gradcam,border_default,10,0.0012203771750036022,0.0024364713092963125,0.00675192061729696,0.04194272988509276,0.0014209980867346938
tiny,shap,border_default,10,0.004182102583409383,0.008323490314248354,0.0029879250944017935,0.08416040047247618,0.0014209980867346938
tiny,lime,border_default,10,0.0011708586945030507,0.0023375106129443378,0.001361735495997373,0.006243574295511983,0.0014209980867346938
very_tiny,shap,border_default,10,0.004654011547569963,0.009259048652435613,0.0038263271761740923,0.11306816380164333,0.0013472576530612246
very_tiny,gradcam,border_default,10,0.002150407756483029,0.004274422024645322,0.002581636725537437,0.00649793584314962,0.0013472576530612246
very_tiny,lime,border_default,10,0.0010990727264018618,0.002194742714254779,0.001051454295580902,-0.020271270634220333,0.0013472576530612246
normal,lime,border_w12_dil4_sigma8,66,0.003498705191115743,0.006957497489208109,0.003398569878191992,0.02492360123914532,0.00308399283008658
normal,shap,border_w12_dil4_sigma8,66,0.0035894749606083564,0.007123893035834758,0.003271851158526136,0.013931147501524256,0.00308399283008658
normal,gradcam,border_w12_dil4_sigma8,66,0.0030407961650727104,0.006038450982599326,0.0032437841941478944,0.008716227958321244,0.00308399283008658
small,gradcam,border_w12_dil4_sigma8,14,0.006668981868108097,0.013182796326692474,0.01172831875431973,0.07174647129670195,0.0032357530065597667
small,shap,border_w12_dil4_sigma8,14,0.00926637457459753,0.018321106302277904,0.006659093021025281,0.12025894600773744,0.0032357530065597667
small,lime,border_w12_dil4_sigma8,14,0.0031495147834021534,0.006274896494654451,0.0033481567892965206,0.02874438257999521,0.0032357530065597667
tiny,gradcam,border_w12_dil4_sigma8,10,0.002591803278738417,0.005164233739493668,0.011336005659390958,0.0487129286887862,0.00291374362244898
tiny,shap,border_w12_dil4_sigma8,10,0.00856459948493882,0.016961148728329593,0.006240569658163484,0.10639667991520578,0.00291374362244898
tiny,lime,border_w12_dil4_sigma8,10,0.003251890257346541,0.006459177124807388,0.0030291914210684003,0.020723987978887436,0.00291374362244898
very_tiny,shap,border_w12_dil4_sigma8,10,0.005146038694300792,0.010209082187606194,0.0044297470182231785,0.1008834805056699,0.001504703443877551
very_tiny,gradcam,border_w12_dil4_sigma8,10,0.0022098214285699103,0.004378294883053806,0.0025873280905956003,0.006112622223746411,0.001504703443877551
very_tiny,lime,border_w12_dil4_sigma8,10,0.001294711827533786,0.002584388420477979,0.001189866137986379,-0.014601632902428215,0.001504703443877551
normal,shap,border_w16_dil6_sigma10,66,0.005450935295251406,0.010776316234339396,0.0049344867650465895,0.02064277638484653,0.004518639842300557
normal,lime,border_w16_dil6_sigma10,66,0.004851698809484519,0.00963583761960424,0.004928930830555965,0.028321029535673403,0.004518639842300557
normal,gradcam,border_w16_dil6_sigma10,66,0.004620958638167112,0.009129562626813935,0.004599680548255821,0.012096412942287901,0.004518639842300557
small,gradcam,border_w16_dil6_sigma10,14,0.011017115513692857,0.021611783148985157,0.018044860500113658,0.08813699794468377,0.005121970663265306
small,shap,border_w16_dil6_sigma10,14,0.014787508192872287,0.02903617889755583,0.010791839951256762,0.14248910668402298,0.005121970663265306
small,lime,border_w16_dil6_sigma10,14,0.005444208167826945,0.010820530052205844,0.005535395711931093,0.048656865375114,0.005121970663265306
tiny,gradcam,border_w16_dil6_sigma10,10,0.003750300205655665,0.007459124021948866,0.01546208934117349,0.05162466820893321,0.004105548469387755
tiny,shap,border_w16_dil6_sigma10,10,0.012234437289984634,0.02414316694327602,0.008851947819481234,0.12092375138926048,0.004105548469387755
tiny,lime,border_w16_dil6_sigma10,10,0.004647970832266538,0.009215232044803439,0.0044752315883356125,0.03219630408335898,0.004105548469387755
very_tiny,gradcam,border_w16_dil6_sigma10,10,0.0014746093749985598,0.002906361274176781,0.00261596041085973,0.01521485752958936,0.0005799585459183674
very_tiny,shap,border_w16_dil6_sigma10,10,0.0021144514054755826,0.004183731593412831,0.0018473635064943108,0.03749351097306579,0.0005799585459183674
very_tiny,lime,border_w16_dil6_sigma10,10,0.0005145120021675148,0.0010263670852572553,0.0004693652025812532,-0.0032868662392920417,0.0005799585459183674
normal,lime,border_w16_dil6_sigma10_dist,66,0.003936359687017013,0.007827835277821486,0.004012667190163206,0.02616754624390128,0.003682794140383426
normal,shap,border_w16_dil6_sigma10_dist,66,0.0043517579355689595,0.008624476382449696,0.003963721784659517,0.016379421693086364,0.003682794140383426
normal,gradcam,border_w16_dil6_sigma10_dist,66,0.003731540901249683,0.0073906187583039845,0.00364015516639639,0.00995693248553719,0.003682794140383426
small,gradcam,border_w16_dil6_sigma10_dist,14,0.008943547139291389,0.017613109670049473,0.014892737736533235,0.08038999892969993,0.004232245353498543
small,shap,border_w16_dil6_sigma10_dist,14,0.012157147305432192,0.023958124190146722,0.008775786766585967,0.13193237688259188,0.004232245353498543
small,lime,border_w16_dil6_sigma10_dist,14,0.004299402455429965,0.008556853621936896,0.004318573005958224,0.03756538084986979,0.004232245353498543
