dataset,stem,pseudo_npz_path,preview_png_path,mask_pixels_224,asymmetry_mean,border_irregularity_mean,border_w8_dil2_sigma5_mean,border_w12_dil4_sigma8_mean,border_w16_dil6_sigma10_mean,border_w16_dil6_sigma10_dist_mean,colour_heterogeneity_mean
isic2018,ISIC_0000060,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0000060.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0000060.png,25354,0.0406641960144043,0.007762025110423565,0.007762025110423565,0.01672176644206047,0.02497362717986107,0.021479198709130287,0.3428853154182434
isic2018,ISIC_0000075,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0000075.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0000075.png,31057,0.05090639740228653,0.011249757371842861,0.011249757371842861,0.018401211127638817,0.026191430166363716,0.022186752408742905,0.22290799021720886
isic2018,ISIC_0000215,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0000215.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0000215.png,36824,0.05990658327937126,0.011368900537490845,0.011368900537490845,0.018729666247963905,0.024210888892412186,0.020283151417970657,0.392624169588089
isic2018,ISIC_0000282,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0000282.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0000282.png,21507,0.17305994033813477,0.009362945333123207,0.009362945333123207,0.020419519394636154,0.03136662766337395,0.027197087183594704,0.16186635196208954
isic2018,ISIC_0003559,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0003559.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0003559.png,2399,0.08211755007505417,0.06551045924425125,0.06551045924425125,0.12698382139205933,0.16674649715423584,0.14198079705238342,0.32105526328086853
isic2018,ISIC_0010032,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010032.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010032.png,6604,0.17534826695919037,0.017198875546455383,0.017198875546455383,0.02768750675022602,0.04379928484559059,0.03979403153061867,0.39979416131973267
isic2018,ISIC_0010189,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010189.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010189.png,49299,0.016328930854797363,0.006414636038243771,0.006414636038243771,0.005728323943912983,0.0071169049479067326,0.00586846424266696,0.24988655745983124
isic2018,ISIC_0010215,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010215.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010215.png,10698,0.11076837033033371,0.012201832607388496,0.012201832607388496,0.02800840511918068,0.04914852976799011,0.04152717441320419,0.39333105087280273
isic2018,ISIC_0010256,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010256.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010256.png,1617,0.09400123357772827,0.08878856897354126,0.08878856897354126,0.13991409540176392,0.22160853445529938,0.1918569803237915,0.37473976612091064
isic2018,ISIC_0010329,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010329.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010329.png,43957,0.12953568994998932,0.0084082568064332,0.0084082568064332,0.014261341653764248,0.02033182792365551,0.017729708924889565,0.2741210162639618
isic2018,ISIC_0010604,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0010604.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0010604.png,46795,0.08075649291276932,0.019945653155446053,0.019945653155446053,0.018275611102581024,0.020037997514009476,0.01707499846816063,0.2504505515098572
isic2018,ISIC_0011295,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0011295.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0011295.png,23268,0.12416193634271622,0.010180944576859474,0.010180944576859474,0.015590373426675797,0.02232433296740055,0.019508767873048782,0.3415468633174896
isic2018,ISIC_0012299,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012299.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012299.png,8855,0.11451157182455063,0.03335433080792427,0.03335433080792427,0.059321194887161255,0.07520867139101028,0.06688687950372696,0.22244171798229218
isic2018,ISIC_0012316,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012316.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012316.png,909,0.08140814304351807,0.11583086848258972,0.11583086848258972,0.185194194316864,0.2398914247751236,0.2106923907995224,0.3437530994415283
isic2018,ISIC_0012369,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012369.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012369.png,6883,0.096905417740345,0.01710030995309353,0.01710030995309353,0.041590623557567596,0.06999624520540237,0.06012657284736633,0.3171916902065277
isic2018,ISIC_0012481,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012481.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012481.png,381,0.06561680138111115,0.23329304158687592,0.23329304158687592,0.344156414270401,0.0,0.0,0.3493458032608032
isic2018,ISIC_0012529,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012529.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012529.png,1140,0.08421052992343903,0.11104416102170944,0.11104416102170944,0.19931115210056305,0.2621314823627472,0.22521118819713593,0.3680741488933563
isic2018,ISIC_0012550,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012550.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012550.png,2145,0.1118881106376648,0.1085420772433281,0.1085420772433281,0.16619107127189636,0.22104141116142273,0.19046469032764435,0.3361934721469879
isic2018,ISIC_0012677,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012677.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012677.png,519,0.10019268095493317,0.24785339832305908,0.24785339832305908,0.3760753273963928,0.46546947956085205,0.3886535167694092,0.3050295412540436
isic2018,ISIC_0012685,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012685.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012685.png,2069,0.1077815368771553,0.10169026255607605,0.10169026255607605,0.15884718298912048,0.2116548717021942,0.18026722967624664,0.3689640760421753
isic2018,ISIC_0012770,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012770.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012770.png,1115,0.09596412628889084,0.1178777888417244,0.1178777888417244,0.23482543230056763,0.3592416048049927,0.30570515990257263,0.4590093791484833
isic2018,ISIC_0012810,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012810.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012810.png,1213,0.2497939020395279,0.09822474420070648,0.09822474420070648,0.09593775868415833,0.14753584563732147,0.13501277565956116,0.2970946729183197
isic2018,ISIC_0012945,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0012945.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0012945.png,285,0.14035087823867798,0.2828165590763092,0.2828165590763092,0.0,0.0,0.0,0.2700631320476532
isic2018,ISIC_0013065,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013065.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013065.png,714,0.14565826952457428,0.16732357442378998,0.16732357442378998,0.26493921875953674,0.3586329519748688,0.29997339844703674,0.32237157225608826
isic2018,ISIC_0013126,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013126.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013126.png,906,0.07395143806934357,0.15437503159046173,0.15437503159046173,0.25487908720970154,0.3119998574256897,0.2590428292751312,0.32179921865463257
isic2018,ISIC_0013196,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013196.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013196.png,150,0.09333333373069763,0.37881267070770264,0.37881267070770264,0.0,0.0,0.0,0.4449739158153534
isic2018,ISIC_0013201,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013201.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013201.png,980,0.05612244829535484,0.12223313003778458,0.12223313003778458,0.2295999974012375,0.2715299725532532,0.22476030886173248,0.3250969648361206
isic2018,ISIC_0013229,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013229.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013229.png,2728,0.14846041798591614,0.06718138605356216,0.06718138605356216,0.07588093727827072,0.09929050505161285,0.08544447273015976,0.1946323812007904
isic2018,ISIC_0013275,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013275.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013275.png,817,0.06487148255109787,0.16087967157363892,0.16087967157363892,0.3199940323829651,0.3723522424697876,0.31301218271255493,0.3054232895374298
isic2018,ISIC_0013302,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013302.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013302.png,434,0.13133640587329865,0.20473870635032654,0.20473870635032654,0.3389148712158203,0.0,0.0,0.27492469549179077
isic2018,ISIC_0013340,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013340.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013340.png,820,0.23780487477779388,0.12652724981307983,0.12652724981307983,0.2103780061006546,0.32643428444862366,0.29832157492637634,0.35773181915283203
isic2018,ISIC_0013355,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013355.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013355.png,216,0.125,0.43379250168800354,0.43379250168800354,0.0,0.0,0.0,0.3782346546649933
isic2018,ISIC_0013369,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013369.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013369.png,384,0.1328125,0.17611722648143768,0.17611722648143768,0.2895857095718384,0.0,0.0,0.4174344539642334
isic2018,ISIC_0013398,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013398.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013398.png,470,0.20638297498226166,0.16016465425491333,0.16016465425491333,0.27303996682167053,0.36572134494781494,0.31539615988731384,0.458972692489624
isic2018,ISIC_0013480,../outputs/pilot/pseudo_concepts/npz/isic2018/ISIC_0013480.npz,../outputs/pilot/pseudo_concepts/png_preview/isic2018/ISIC_0013480.png,926,0.053995680063962936,0.15551969408988953,0.15551969408988953,0.2642885744571686,0.3611294627189636,0.30432459712028503,0.4341370761394501
