dataset,stem,pseudo_npz_path,preview_png_path,mask_pixels_224,asymmetry_mean,border_irregularity_mean,border_w8_dil2_sigma5_mean,border_w12_dil4_sigma8_mean,border_w16_dil6_sigma10_mean,border_w16_dil6_sigma10_dist_mean,colour_heterogeneity_mean
ham10000,ISIC_0024596,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0024596.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0024596.png,9803,0.10619198530912399,0.038359858095645905,0.038359858095645905,0.05026884749531746,0.0701490268111229,0.06101701408624649,0.42707130312919617
ham10000,ISIC_0024615,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0024615.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0024615.png,1117,0.143240824341774,0.106675885617733,0.106675885617733,0.19195453822612762,0.30575689673423767,0.27339521050453186,0.3900332748889923
ham10000,ISIC_0024823,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0024823.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0024823.png,22397,0.06514265388250351,0.010487250052392483,0.010487250052392483,0.01841801218688488,0.029170090332627296,0.024596843868494034,0.30950209498405457
ham10000,ISIC_0024932,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0024932.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0024932.png,5361,0.07069576531648636,0.036707911640405655,0.036707911640405655,0.06269819289445877,0.09898235648870468,0.08546551316976547,0.32589197158813477
ham10000,ISIC_0025216,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025216.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025216.png,16039,0.08217469602823257,0.015870872884988785,0.015870872884988785,0.019900862127542496,0.02715192548930645,0.023202616721391678,0.2642146944999695
ham10000,ISIC_0025268,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025268.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025268.png,29052,0.230483278632164,0.007584995124489069,0.007584995124489069,0.017503147944808006,0.027342775836586952,0.023100143298506737,0.28669023513793945
ham10000,ISIC_0025439,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025439.png,26362,0.24015629291534424,0.013111954554915428,0.013111954554915428,0.018980063498020172,0.02629426121711731,0.02209947258234024,0.36859777569770813
ham10000,ISIC_0025524,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025524.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025524.png,44112,0.1231410950422287,0.0054345158860087395,0.0054345158860087395,0.010677359998226166,0.009986546821892262,0.008289333432912827,0.31917768716812134
ham10000,ISIC_0025550,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025550.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025550.png,3839,0.13753581047058105,0.0299132838845253,0.0299132838845253,0.048233967274427414,0.0698043629527092,0.0624527744948864,0.26708316802978516
ham10000,ISIC_0025748,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025748.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025748.png,14140,0.10396039485931396,0.02812463603913784,0.02812463603913784,0.03868243470788002,0.04713176563382149,0.04012555629014969,0.25986945629119873
