label_name,xai_method,concept,n,mean_dice_enrichment,mean_iou_enrichment,mean_sir_enrichment,mean_dice_z,mean_iou_z,mean_sir_z,mean_concept_area_ratio_lesion
melanoma,lime,asymmetry,1112,0.7140725167513186,0.7051924926435463,0.7084167176519415,-17.874422561070773,-17.19351661146954,-17.874351414804586,0.13960010501848558
melanoma,shap,asymmetry,1112,0.5549186832534552,0.539863086746402,0.634293276663305,-20.834377309567635,-19.750123817308957,-20.423509834013636,0.13960010501848558
melanoma,gradcam,asymmetry,1112,0.48438166191531756,0.47155724660994386,0.3542012954511344,-29.182067384744016,-27.074777619565552,-25.85992774480286,0.13960010501848558
non-melanoma,gradcam,asymmetry,8901,1.036676507957591,1.0380668427819706,1.621635247169297,-8.95995596434611,-8.11293503678998,-3.3028830809350236,0.11920174908683465
non-melanoma,lime,asymmetry,8901,0.8121272259621717,0.8077191725533821,0.8077696606145747,-12.19742263691129,-11.76852261040472,-12.215770180764705,0.11920174908683465
non-melanoma,shap,asymmetry,8901,0.618088782764719,0.6070320029433508,0.6897360940226658,-16.031010655417536,-15.336965334668102,-16.40823213066556,0.11920174908683465
melanoma,lime,border_default,1112,0.714313534770141,0.7142669065179623,0.7097639736251957,-4.062550122412944,-4.050561786119445,-4.058280547021666,0.008693016970557315
melanoma,shap,border_default,1112,0.5132336863229671,0.5127509725952645,0.5950562493466346,-3.929888541788619,-3.9188080286891824,-3.77681483700967,0.008693016970557315
melanoma,gradcam,border_default,1112,0.5136243693914337,0.5133603309703584,0.3824413899064454,-4.763481573083191,-4.746094940970076,-4.396265234148152,0.008693016970557315
non-melanoma,gradcam,border_default,8901,1.073061872874235,1.0734129786242539,2.311897420509547,-1.5332290773811237,-1.5224277233241947,-0.31665931167152933,0.010820859757446595
non-melanoma,lime,border_default,8901,0.801833770564747,0.8019582788419672,0.7974477331428116,-2.902128771557322,-2.8935711623323823,-2.9139460084811986,0.010820859757446595
non-melanoma,shap,border_default,8901,0.5812522967668938,0.5807286203103659,0.6580800410304675,-3.5021020803561456,-3.4933569421468533,-3.5159938270507918,0.010820859757446595
melanoma,lime,border_w12_dil4_sigma8,1112,0.7268887693700422,0.7266962027150395,0.722618698616319,-6.80675677512025,-6.748171286937125,-6.782036836171934,0.02830239942935721
melanoma,shap,border_w12_dil4_sigma8,1112,0.49937566585310383,0.4976013816292324,0.5865750373659443,-7.220580156304129,-7.1621611607466305,-6.967528126220288,0.02830239942935721
melanoma,gradcam,border_w12_dil4_sigma8,1112,0.47687757671714853,0.4759130733688465,0.3376886730351481,-9.229663112505268,-9.136830109035012,-8.225265427969168,0.02830239942935721
non-melanoma,gradcam,border_w12_dil4_sigma8,8901,1.0827576385790607,1.0839541576444418,2.1691253410359104,-2.9308637118244203,-2.8699789697607483,-0.5857592676470543,0.03642312351751757
non-melanoma,lime,border_w12_dil4_sigma8,8901,0.7855399888221727,0.785823493580218,0.7806899839292267,-5.384787244250327,-5.337162427956804,-5.40493764654977,0.03642312351751757
non-melanoma,shap,border_w12_dil4_sigma8,8901,0.5461539782168833,0.5443498307726164,0.6361474415100675,-6.683694116636617,-6.635641284213485,-6.674493003264818,0.03642312351751757
melanoma,lime,border_w16_dil6_sigma10,1112,0.7482309834396292,0.7477013429357918,0.7441911141514704,-8.257155276082056,-8.140770058002436,-8.241120943483038,0.05031557475156133
melanoma,shap,border_w16_dil6_sigma10,1112,0.5007797030356205,0.4973853222677236,0.5943390837345794,-9.71310467131815,-9.579637061210716,-9.406606180839004,0.05031557475156133
melanoma,gradcam,border_w16_dil6_sigma10,1112,0.4645335360604555,0.4626218077070542,0.33019906612363387,-12.57954744741954,-12.3540016845457,-11.356630205099684,0.05031557475156133
non-melanoma,gradcam,border_w16_dil6_sigma10,8901,1.0386543595650284,1.0403483837888783,1.91257392840882,-4.166796612204451,-4.027830389280141,-1.0003505475965506,0.06248325767620769
non-melanoma,lime,border_w16_dil6_sigma10,8901,0.7899657271254548,0.7901648054791821,0.7851190479992055,-6.776525061295605,-6.677908349524555,-6.80831846030761,0.06248325767620769
non-melanoma,shap,border_w16_dil6_sigma10,8901,0.5497629627963222,0.5464143075705415,0.6406290466475335,-8.887625249568405,-8.779903590903928,-8.95012174975014,0.06248325767620769
melanoma,lime,border_w16_dil6_sigma10_dist,1112,0.7216360305302284,0.7212921547813811,0.7171079723500212,-7.914026313940968,-7.8286546250461315,-7.901917825729555,0.03609016229385304
melanoma,shap,border_w16_dil6_sigma10_dist,1112,0.47775779714836397,0.4753823075847318,0.573062186425216,-8.613599553571147,-8.523811925695078,-8.220845638455,0.03609016229385304
melanoma,gradcam,border_w16_dil6_sigma10_dist,1112,0.44896523232594393,0.4476118471910231,0.3151815940549533,-10.960077560281226,-10.817970389008478,-9.704370842211892,0.03609016229385304
non-melanoma,gradcam,border_w16_dil6_sigma10_dist,8901,1.059075038748726,1.0604550220986808,2.0968035586931473,-3.5648404945686853,-3.4769649278616455,-0.7130052313860872,0.045563263465222
non-melanoma,lime,border_w16_dil6_sigma10_dist,8901,0.7790645636582909,0.7793376243187178,0.7739529932384457,-6.232402205956326,-6.163727873860449,-6.264608093486294,0.045563263465222
non-melanoma,shap,border_w16_dil6_sigma10_dist,8901,0.5327352931812483,0.5303801631094917,0.6268523909690465,-7.79487943332066,-7.724142736836636,-7.752019307373572,0.045563263465222
melanoma,lime,border_w8_dil2_sigma5,1112,0.7185539305810409,0.718501861556796,0.7148736817629675,-4.472199062652502,-4.455664266020838,-4.457893309276037,0.010852763938413688
melanoma,shap,border_w8_dil2_sigma5,1112,0.5135385614775457,0.5129277361371063,0.5958365250230412,-4.369874229345483,-4.354533093204067,-4.157996407678682,0.010852763938413688
melanoma,gradcam,border_w8_dil2_sigma5,1112,0.49604620500515534,0.49566760013902156,0.355978849085138,-5.483719859686211,-5.462026933524778,-4.95019610906671,0.010852763938413688
non-melanoma,gradcam,border_w8_dil2_sigma5,8901,1.116860355003447,1.1174143545654998,2.3870864663747717,-1.59894856543458,-1.5844046868947759,-0.256246315582967,0.013851776675144133
non-melanoma,lime,border_w8_dil2_sigma5,8901,0.7900724738374588,0.790220445858491,0.7852228577506523,-3.336115462900664,-3.3240071324346814,-3.349456963040482,0.013851776675144133
non-melanoma,shap,border_w8_dil2_sigma5,8901,0.5586930355229475,0.5580455531234796,0.6434166377440774,-4.011687291593845,-3.999662565062456,-3.9844945607404045,0.013851776675144133
melanoma,shap,colour_heterogeneity,1112,1.1797806471117653,1.220755181773147,1.247864195412079,4.7468857101991215,6.2311468131571495,11.773518144767252,0.18424708215883373
melanoma,gradcam,colour_heterogeneity,1112,1.0339368702098066,1.054553370991417,1.1101932644899575,-1.0302168534222214,0.10730260919818535,1.4454678516776875,0.18424708215883373
melanoma,lime,colour_heterogeneity,1112,1.013213723002609,1.024738718235616,1.015132576033558,-4.007393550184836,-3.1799961717701617,-3.980035396655424,0.18424708215883373
non-melanoma,gradcam,colour_heterogeneity,8901,1.0462893412429086,1.0514134724424713,1.3982897985385705,1.7172687141586733,2.282931177022249,3.325185950197287,0.18775169714787016
non-melanoma,shap,colour_heterogeneity,8901,1.0414326973792065,1.0531975758898546,1.1022493090124752,-1.3607206553308286,-0.6525362423733144,2.9805652910600866,0.18775169714787016
non-melanoma,lime,colour_heterogeneity,8901,0.9768945864825127,0.9814389444177121,0.9766429131560157,-4.8278223011734465,-4.337285383886022,-4.822891728978943,0.18775169714787016
