xai_method,concept,n,mean_concept_area_ratio_image,mean_concept_area_ratio_lesion,mean_xai_area_ratio_image,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_iou_empirical_p_ge,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_dice_empirical_p_ge,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_sir_empirical_p_ge,mean_observed_tixai,mean_random_tixai,mean_tixai_enrichment,mean_tixai_z,mean_pearson_corr,frac_dice_enrichment_gt_1,frac_iou_enrichment_gt_1,frac_sir_enrichment_gt_1,frac_tixai_enrichment_gt_1,frac_dice_empirical_p_le_05,frac_iou_empirical_p_le_05,frac_sir_empirical_p_le_05
gradcam,asymmetry,12607,0.03195742815226149,0.12085173918054473,0.6944991687481687,0.028249885200400986,0.03867037336910632,0.9756745220422827,-13.780473554959725,0.923567529276129,0.0536013078770097,0.0718890931740575,0.9760662169068324,-14.957352287070947,0.923567529276129,0.02238829085553153,0.042270712472823956,1.348554420431044,-7.871347999402415,0.835479581907584,0.24643855849505977,0.3365828805051127,1.1629943867062136,-25.57460938427705,-0.001839736316799186,0.31093836757357024,0.32894423732846834,0.16673276751011343,0.1672086935829301,0.06797810740065043,0.06797810740065043,0.1504719600222099
lime,asymmetry,12607,0.03195742815226149,0.12085173918054473,0.32309264962330614,0.030304096495738692,0.043930395562255996,0.8106709548720112,-11.836025551319175,0.8043331262609881,0.05761521773786391,0.0821270847692357,0.8152024850630604,-12.264112789947117,0.8043331262609881,0.03356421356365139,0.04843087788478883,0.811455806166371,-12.278266322124411,0.8029414744441049,0.5310200575055151,0.6188000419414352,0.8818637601540936,-19.288469171725332,0.015700533419469365,0.2029031490441818,0.20306179106845404,0.19949234552232886,0.2002062346315539,0.16482906321884666,0.16482906321884666,0.16593955738875227
shap,asymmetry,12607,0.03195742815226149,0.12085173918054473,0.2000159596861073,0.03154035966927858,0.05920887111593991,0.6244847644454496,-14.751076430485766,0.9189457059452277,0.0601667282478213,0.10928924496342975,0.6350766558420978,-15.43413709542578,0.9189457059452277,0.0343394211243075,0.053787133892933284,0.7007000700063433,-15.703417791627924,0.9122874530651288,0.5636157253415085,0.6623193289794248,0.8468253999877615,-21.451533227519732,0.031549369115689785,0.08217656857301499,0.08217656857301499,0.08733243436186246,0.08796700245895138,0.04069167922582692,0.04069167922582692,0.05600063456809709
gradcam,border_default,12607,0.0014562794646195418,0.012460889516515932,0.6944991687481687,0.0015701557100521023,0.0019840870897798253,0.9946239313197465,-2.5468674648248375,0.9123055162659123,0.003130163332055767,0.003952398888812639,0.9943366345985954,-2.560358743102427,0.9123055162659123,0.0014054168670876782,0.0023950207459644086,1.9629935536354415,-1.1914421852761445,0.869948095785227,0.1979995368964774,0.32377747404362034,1.2465303879083087,-6.7719601965923735,0.00428570147101305,0.3505988736416277,0.36273498849845326,0.12953121281827557,0.13357658443721743,0.06274292059966685,0.06274292059966685,0.09328151027207107
lime,border_default,12607,0.0014562794646195418,0.012460889516515932,0.32309264962330614,0.0017237915375256211,0.0024785738437530878,0.8009319717429635,-3.034334375338782,0.731646806308298,0.0034367570226296646,0.004938506836371324,0.800815361767818,-3.043579519096084,0.731646806308298,0.0017331694653653052,0.002506695779383876,0.7970198067999155,-3.0514246607733786,0.7297988623324932,0.4627638545865093,0.6123022842543124,0.7762278698566298,-6.987737004838353,0.01656962160577623,0.28158959308320775,0.282462124216705,0.2792892837312604,0.2840485444594273,0.18378678511937813,0.18378678511937813,0.18505592131355597
shap,border_default,12607,0.0014562794646195418,0.012460889516515932,0.2000159596861073,0.0022315593450955556,0.0036742603152238743,0.5923144032419626,-3.3935324212975635,0.8667634749514453,0.0044455587026534715,0.007310385016119039,0.5928007742808974,-3.4026288447651734,0.8667634749514453,0.0018802500645736945,0.0028741417403753693,0.6646839894166994,-3.4070098526420467,0.8725539088373817,0.5381768753655634,0.6557165489458372,0.8155084112755745,-5.267120796687505,0.03385192019975574,0.133973189497898,0.13381454747362576,0.11779170302213056,0.12199571666534464,0.0416435313714603,0.0416435313714603,0.055128103434599826
gradcam,border_w12_dil4_sigma8,12607,0.00442375257590935,0.039982842625285696,0.6944991687481687,0.0047293834897240445,0.005990969607325053,1.0012386869810734,-4.778516253779311,0.9172050946353376,0.009375700998538761,0.011853480095328864,1.0003031062001546,-4.847250264561057,0.9172050946353376,0.004208934515399414,0.007273038415496109,1.8107374997956904,-2.143719137675343,0.8752045659111365,0.19165881902944024,0.3309366275238002,1.1263076545777426,-13.539439944864041,0.006499627456114162,0.3122075037677481,0.3471880701197747,0.12477195209010868,0.12588244626001427,0.06956452764337273,0.06956452764337273,0.1067660823352106
lime,border_w12_dil4_sigma8,12607,0.00442375257590935,0.039982842625285696,0.32309264962330614,0.005374701664116706,0.007682001392812822,0.789391558839374,-5.366730006268753,0.7406765152039679,0.010652661506896208,0.015195914061241631,0.7891538353120178,-5.413410630834217,0.7406765152039679,0.005440514063108147,0.007806689717809362,0.7849669115654827,-5.424838143411231,0.7387535956392842,0.4688678919554535,0.6151906266850266,0.7788336088207334,-11.926335836908468,0.03231668191668363,0.2681843420322043,0.2681050210200682,0.2647735385103514,0.26604267470452925,0.21210438645197113,0.21210438645197113,0.2136114856825573
shap,border_w12_dil4_sigma8,12607,0.00442375257590935,0.039982842625285696,0.2000159596861073,0.006879609481339459,0.011406653643611393,0.563654946291002,-6.3029999980906615,0.9087840602242042,0.013594796328769497,0.022465773816472162,0.5653097700793243,-6.349145061740137,0.9087840602242042,0.005849766368946817,0.008966279825379089,0.6478656430127685,-6.322880537627287,0.9098548840898075,0.5362541911411896,0.6575538909943739,0.8103972105279018,-9.52395649015163,0.05670879966941299,0.09090187990798762,0.09082255889585152,0.0875703973982708,0.08876021258031253,0.04235742048068533,0.04235742048068533,0.05187594193701912
gradcam,border_w16_dil6_sigma10,12607,0.00806758370289096,0.06765819832086074,0.6944991687481687,0.008631237896374565,0.010926517988325297,0.9706193178988687,-6.495833950911753,0.9176790972510425,0.01699270362385971,0.02143796848879754,0.9692855765091399,-6.656521332843665,0.9176790972510425,0.007715148404639427,0.013271436323307979,1.5994911118364754,-3.1194608486714,0.8736009169779253,0.19339644313163096,0.3334398763471521,1.0229221252143446,-17.983496123253964,0.009254613357703315,0.31569762830173714,0.3440152296343301,0.12580312524787815,0.1265963353692393,0.07186483699532006,0.07186483699532006,0.11176330609978584
