mask_size_class,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
normal,gradcam,asymmetry,11252,0.059006335676118495,0.07942449292876304,0.9632850099058791,-15.71548302400387,0.031120906410947488,0.04275914096451605,0.9628542010603992,-14.463225368801146,0.024097539517264573,0.04600902796144502,1.3445832112349438,-8.257473870291024,0.12227469123445846
normal,lime,asymmetry,11252,0.06322954164443643,0.09031865962718107,0.7931359788232447,-13.081700284407596,0.03328492780247974,0.0483609004020484,0.788084163388674,-12.60689739321803,0.036927830583669524,0.05338866732340152,0.7894336860363709,-13.095852923778072,0.12227469123445846
normal,shap,asymmetry,11252,0.06503660214869582,0.1199306245736018,0.5961643955402033,-17.14211790851629,0.03413303813422903,0.06505941451443073,0.5843378816525046,-16.37748180098633,0.03758084535835637,0.059241486679681196,0.6752189557333043,-17.428250527932708,0.12227469123445846
small,gradcam,asymmetry,971,0.010414617796151314,0.011196997612630856,1.0931080375418696,-3.7649756539021224,0.005271846679343708,0.005676056415641673,1.0930359231865927,-3.741005479363112,0.009404861651768966,0.013451909397366428,1.4314356215173085,-3.2537915046871113,0.10795276419194448
small,lime,asymmetry,971,0.013113441232000518,0.0170956448202729,0.9595237253802349,-6.269960481407647,0.006627611576591552,0.008663129457802623,0.9592291856761773,-6.232153723425896,0.006715196820692158,0.008797605847041808,0.9540799927513595,-6.32481837062441,0.10795276419194448
small,shap,asymmetry,971,0.02353597525658781,0.025105766412303495,0.9474923245454968,-1.5503590942252654,0.011959904305301248,0.012768114790230356,0.9470264909993021,-1.5430860175948042,0.008803313949200958,0.010142232835025768,0.8983767563252969,-1.7219623902508154,0.10795276419194448
tiny,gradcam,asymmetry,285,0.004892415359173875,0.005067701417116622,1.128395134573408,-1.8235298312963626,0.00246074501883717,0.0025503747566952757,1.1284929911847155,-1.8164983185784356,0.005813269031964474,0.006457770776919253,1.3587629617440302,-1.5847935577429824,0.10785041377867365
tiny,lime,asymmetry,285,0.00639469668771845,0.007586410638053066,1.0314689299469555,-3.3407542146362856,0.0032122069835705805,0.003813481291185052,1.0315104948588103,-3.332029957310678,0.003287310805733333,0.003920069597467419,1.0290030543249666,-3.3663243251290083,0.10785041377867365
tiny,shap,asymmetry,285,0.01131607143250292,0.011663621790784635,0.9802200167262295,-0.61902304385736,0.005698045347107303,0.005874405969641667,0.980164293842781,-0.617187281495384,0.004375861213428098,0.004876233926247102,0.9389485801123214,-0.6656351842604079,0.10785041377867365
very_tiny,lime,asymmetry,99,0.0034404792502961325,0.0035212263473033893,1.3160030669179996,-0.46394280597324256,0.0017257278493699945,0.001766713717157435,1.316255181283952,-0.46189571097851595,0.0017651613836112683,0.0018090672511415831,1.320599863254775,-0.4772463143675878,0.12306614264344222
very_tiny,gradcam,asymmetry,99,0.0030855264681673186,0.0030790265167529953,0.9983454010220181,-0.8958717975703498,0.0015513972673013277,0.0015478317812380538,0.9983494673671273,-0.8956929976602989,0.003179452822701237,0.0031416245095691555,1.1437732709697124,-0.6603576471306679,0.12306614264344222
very_tiny,shap,asymmetry,99,0.006581649603512874,0.006548405606776975,0.9999178755788515,-0.13369098399411034,0.0033066591906762395,0.0032895038345282317,1.0000003485281592,-0.13293369823348586,0.0026492106203798334,0.002740950673198831,0.9721001710601509,-0.08668333643088663,0.12306614264344222
normal,gradcam,border_default,11252,0.0031299983103299815,0.004028264446123801,0.9862552707674836,-2.604376101811419,0.0015700297478668957,0.00202221730012478,0.9865631340649578,-2.5904363077210797,0.0012171595034321855,0.0022033153255614345,2.0078363478066423,-1.1502712639061055,0.007877338199265888
normal,lime,border_default,11252,0.003384186450202041,0.004907075738473617,0.7846502524247564,-2.982898885735394,0.0016974744045809846,0.0024628074338409744,0.7847766684197887,-2.9735918355830893,0.0017042237143927083,0.0024887222989432895,0.7807935511178054,-2.9909267105476283,0.007877338199265888
