dataset,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr
ham10000,shap,asymmetry,10015,0.032588525269378284,0.062141277076816534,0.035827010271693445,0.5561459821504292,0.02873096845511506
ham10000,lime,asymmetry,10015,0.03172323461564484,0.06028636129206248,0.03520579182304596,0.5284121860458022,0.015120047045726953
ham10000,gradcam,asymmetry,10015,0.02994825258691302,0.0567998710236797,0.022794207697291614,0.23804684311008698,-0.002024429062635624
ham10000,shap,border_default,10015,0.0021711382063173195,0.004326290452168039,0.0018384675409478938,0.5316955661162162,0.02974504552184253
ham10000,lime,border_default,10015,0.0017100232413328029,0.0034100379514311516,0.0017200341530584507,0.4628587272743538,0.015150243046466004
ham10000,gradcam,border_default,10015,0.001581527563364486,0.0031536856802818645,0.0013003225378641506,0.19402410975644274,0.003579144863306146
ham10000,shap,border_w12_dil4_sigma8,10015,0.006745447937837103,0.013330792023642707,0.0057934987009728165,0.5281152740663966,0.05119191018172911
ham10000,lime,border_w12_dil4_sigma8,10015,0.005422037318084349,0.010745892691632493,0.005492663991289342,0.46511266166888293,0.030878287871578522
ham10000,gradcam,border_w12_dil4_sigma8,10015,0.004866932889651362,0.009647237553822283,0.004015710097941426,0.18651712444419008,0.005833913310900428
ham10000,shap,border_w16_dil6_sigma10,10015,0.012439790756649449,0.02434998409153365,0.010780889813213162,0.5301866947458913,0.07192049487640331
ham10000,lime,border_w16_dil6_sigma10,10015,0.01019222686159673,0.020049538931471995,0.010404099524768723,0.47855655310872647,0.04616933120960123
ham10000,gradcam,border_w16_dil6_sigma10,10015,0.008838977105662615,0.017397172883262195,0.007387979273212695,0.18712662905338323,0.008495156301107722
ham10000,shap,border_w16_dil6_sigma10_dist,10015,0.008595125639555508,0.01693134058578198,0.007427500213751507,0.5227411169568063,0.05781795639188489
ham10000,lime,border_w16_dil6_sigma10_dist,10015,0.006954987756902411,0.013751637979376598,0.007058775562375159,0.4654055232026382,0.03589951422238877
ham10000,gradcam,border_w16_dil6_sigma10_dist,10015,0.00620650440527565,0.012273686984977807,0.005142486003093512,0.1839496166031083,0.00636378539929778
ham10000,shap,border_w8_dil2_sigma5,10015,0.002552767566343627,0.005082111815262867,0.002176782115984052,0.5280075117402593,0.031232488714661583
