xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_inside_outside_ratio,mean_pearson_corr,mean_concept_area
shap,asymmetry,12609,0.03153535683643394,0.06015718479025171,0.0343339743131212,0.5635263263843602,1.4455906395464415,0.03154436485379501,0.031952359165323276
lime,asymmetry,12609,0.03029928975507798,0.05760607899288214,0.03355888971345496,0.5309358287708802,1.2882499855682052,0.015698043050142794,0.031952359165323276
gradcam,asymmetry,12609,0.028245404292287717,0.05359280580581029,0.02238473969511351,0.24639946918448874,1.0359449808777261,-0.0018394445035996123,0.031952359165323276
shap,border_default,12609,0.0022312053821572073,0.004444853562086835,0.0018799518252106584,0.538091511438945,1.3650331005172798,0.03384655071443579,0.0014560484741422146
lime,border_default,12609,0.001723518115123011,0.0034362118950188544,0.0017328945554652188,0.46269045243652335,1.2379481981070655,0.016566993384409635,0.0014560484741422146
gradcam,border_default,12609,0.0015699066568821787,0.003129666835373748,0.0014051939442758811,0.1979681308314609,1.0144415769186588,0.004285021686498641,0.0014560484741422146
shap,border_w12_dil4_sigma8,12609,0.006865969205581436,0.0135678417797792,0.005838167974211069,0.5351909541851637,1.3354520510448717,0.056699804697619934,0.00442305089416209
lime,border_w12_dil4_sigma8,12609,0.005364045185283939,0.010631540360280944,0.005429727097323616,0.46793826254004495,1.2396002859221746,0.03231155594604099,0.00442305089416209
gradcam,border_w12_dil4_sigma8,12609,0.004720006490180658,0.009357111695266263,0.00420058941563855,0.19127881502628882,0.9919483551580591,0.006498596505609571,0.00442305089416209
shap,border_w16_dil6_sigma10,12609,0.01268416771896642,0.024822842624868724,0.010873785818735245,0.53650296043443,1.348771574185302,0.07757910119590133,0.008066304048088424
lime,border_w16_dil6_sigma10,12609,0.010087567720866268,0.019845327958679177,0.010286387052133854,0.48043164008704964,1.2775532094853983,0.04738846054814235,0.008066304048088424
gradcam,border_w16_dil6_sigma10,12609,0.00857373738219462,0.016879499792913265,0.007663750794520507,0.19210805378885543,1.0176023321338155,0.00925314541998299,0.008066304048088424
shap,border_w16_dil6_sigma10_dist,12609,0.008885237672132097,0.017497425434542878,0.007578302182438589,0.5294522943103831,1.3105978985264684,0.06371133921196909,0.005729183737199377
lime,border_w16_dil6_sigma10_dist,12609,0.006955677114291994,0.013752586548163472,0.007054530129242181,0.4679363934254205,1.2281865328012624,0.03741637163747039,0.005729183737199377
gradcam,border_w16_dil6_sigma10_dist,12609,0.0060740500294331375,0.012013140505639473,0.0053931836568569215,0.18901610980128425,0.9770521536841722,0.007109158991084907,0.005729183737199377
shap,border_w8_dil2_sigma5,12609,0.002562439362223846,0.005101297784053458,0.002168252313976737,0.5350037863359443,1.3410635976779233,0.03530325113734283,0.0016756545550351953
lime,border_w8_dil2_sigma5,12609,0.0019831818133288267,0.00395228607570585,0.0019951691293166435,0.45952873044360026,1.2227982163933884,0.016967497654311384,0.0016756545550351953
gradcam,border_w8_dil2_sigma5,12609,0.0017994684585242694,0.003586055054779396,0.0015449836663260772,0.19360595960475005,0.9726823877523196,0.00392370740630162,0.0016756545550351953
shap,colour_heterogeneity,12609,0.07877698778518229,0.14010748394910164,0.07608733077560077,0.6689950887222239,2.3293710503240006,0.35384351947820747,0.04036050379213665
lime,colour_heterogeneity,12609,0.05394873073904198,0.09864948941350994,0.059788019016629695,0.5847527699854174,1.7084841336178045,0.17404004492178068,0.04036050379213665
gradcam,colour_heterogeneity,12609,0.04978294969253979,0.0904798037758436,0.058845302569853354,0.31787062074959177,2.2447696505145878,0.09622487735412663,0.04036050379213665
