mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr,mean_concept_area
normal,shap,asymmetry,11254,0.034126972195339035,0.06502504419558608,0.03757416669381787,0.5469891942133165,0.027219373232883485,0.03542090752936371
normal,lime,asymmetry,11254,0.033279012585169944,0.06321830483234399,0.03692126796938422,0.5212130703834159,0.014308483207754045,0.03542090752936371
normal,gradcam,asymmetry,11254,0.031115375771812833,0.05899584938934474,0.024093257032900415,0.24111787820228278,-0.0048426979990217845,0.03542090752936371
small,shap,asymmetry,971,0.011959904305301298,0.02353597525658786,0.008803313949201006,0.6911753661293694,0.07145472406574076,0.003816124399682633
small,lime,asymmetry,971,0.0066276115765915985,0.013113441232000566,0.006715196820692208,0.6057202467439748,0.028939074336327333,0.003816124399682633
small,gradcam,asymmetry,971,0.005271846679343752,0.010414617796151358,0.009404861651768981,0.2927725862186061,0.02265398479226455,0.003816124399682633
tiny,shap,asymmetry,285,0.005698045347107352,0.01131607143250297,0.004375861213428148,0.7222821409242195,0.05951284416567731,0.0016306111260293592
tiny,lime,asymmetry,285,0.0032122069835706277,0.006394696687718498,0.003287310805733381,0.6353216009181842,0.02501952886047045,0.0016306111260293592
tiny,gradcam,asymmetry,285,0.0024607450188372146,0.004892415359173918,0.0058132690319644895,0.296490792917055,0.026311429288660645,0.0016306111260293592
very_tiny,shap,asymmetry,99,0.003306659190676286,0.006581649603512926,0.0026492106203798845,0.734397646754679,0.051236085086649175,0.0009113375463821892
very_tiny,lime,asymmetry,99,0.0017257278493700374,0.0034404792502961802,0.0017651613836113195,0.6021914649190325,0.016955029226045824,0.0009113375463821892
very_tiny,gradcam,asymmetry,99,0.0015513972673013698,0.003085526468167363,0.0031794528227012528,0.24776008544546185,0.018286777318651408,0.0009113375463821892
normal,shap,border_default,11254,0.0020529787604575598,0.004090440693324649,0.0017734045716564328,0.5189091311643566,0.025821169769068952,0.001494910298900527
normal,lime,border_default,11254,0.0016971727386125574,0.0033835850308933583,0.0017039208489734523,0.4500111091033919,0.01333631937506317,0.001494910298900527
normal,gradcam,border_default,11254,0.0015697507306734308,0.0031294420639624513,0.001216943196429639,0.19046274986590636,0.0004617072485073916,0.001494910298900527
small,shap,border_default,971,0.0037211523162401627,0.007406811157720876,0.0027177313037384993,0.6869473445059465,0.09954503906277126,0.0011731106094600558
small,lime,border_default,971,0.0019375423953386375,0.0038635977623357252,0.0019587285651450526,0.5561705583171299,0.04327910104907259,0.0011731106094600558
small,gradcam,border_default,971,0.0015887709504518897,0.0031663563372783445,0.002813775056398977,0.25614443589404734,0.03310069833570583,0.0011731106094600558
tiny,shap,border_default,285,0.0037039003907483638,0.007375578144010436,0.002852253786190168,0.7185937454825954,0.1024043333662199,0.00106187623075546
tiny,lime,border_default,285,0.0020527076797510566,0.0040934602797552825,0.0020965962042458143,0.6064753108902982,0.04757371701806414,0.00106187623075546
tiny,gradcam,border_default,285,0.0015212277699526134,0.003032533408313362,0.0035488407018802767,0.27860049547202753,0.045890369154003616,0.00106187623075546
very_tiny,shap,border_default,99,0.003638335181801723,0.007245309055427778,0.002975839289549663,0.7390648144664187,0.10440651957470028,0.000948177566481138
very_tiny,lime,border_default,99,0.0016715409963379746,0.0033347498955619516,0.0017645137429071563,0.5732506787159828,0.032563281497599655,0.000948177566481138
very_tiny,gradcam,border_default,99,0.0015427455182153468,0.003074991055834138,0.0028183487975367845,0.24843420404376407,0.03650759371209878,0.000948177566481138
normal,shap,border_w12_dil4_sigma8,11254,0.006163015697432134,0.012189735122296756,0.005390666616341613,0.5170384943127759,0.04572159687477242,0.004478272379571164
normal,lime,border_w12_dil4_sigma8,11254,0.005129320061633215,0.010169100697368871,0.005184953183753852,0.4530696031868872,0.027405781596392693,0.004478272379571164
normal,gradcam,border_w12_dil4_sigma8,11254,0.004651900678495762,0.009224803068882194,0.0035191827228375216,0.1831310692642705,0.0009656961444987619,0.004478272379571164
